index,starting_county,ending_county
471,Rutherford County,Rutherford County
472,Davidson County,Davidson County
473,Davidson County,Davidson County
474,Davidson County,Davidson County
475,Sumner County,Sumner County
476,Rutherford County,Rutherford County
477,Davidson County,Davidson County
478,Rutherford County,Rutherford County
479,Davidson County,Wilson County
480,Bedford County,Bedford County
481,Trousdale County,Trousdale County
482,Davidson County,Davidson County
483,Davidson County,Davidson County
484,Rutherford County,Rutherford County
485,Moore County,Franklin County
486,Davidson County,Davidson County
487,Bedford County,Bedford County
488,Warren County,
489,Moore County,Moore County
490,Lincoln County,
491,Lincoln County,Lincoln County
492,Lincoln County,Lincoln County
493,Williamson County,Williamson County
494,Franklin County,Franklin County
495,Rutherford County,Rutherford County
496,Wilson County,Wilson County
497,Grundy County,Grundy County
498,Marshall County,
499,Lincoln County,
500,Rutherford County,Wilson County
501,Warren County,
502,Rutherford County,
503,Warren County,Warren County
504,Rutherford County,Rutherford County
505,Smith County,
506,Marion County,Marion County
507,Coffee County,Coffee County
508,Davidson County,
509,Robertson County,Sumner County
510,Warren County,
511,Sumner County,Sumner County
512,Rutherford County,Rutherford County
513,Lincoln County,
514,Cannon County,Cannon County
515,Davidson County,Sumner County
516,Cannon County,Warren County
517,Moore County,Lincoln County
518,Sumner County,Sumner County
519,Warren County,Warren County
520,Coffee County,Coffee County
521,Lincoln County,Lincoln County
522,Bedford County,Coffee County
523,Bedford County,Bedford County
524,Coffee County,Coffee County
525,Lincoln County,Lincoln County
526,Grundy County,
527,Davidson County,Davidson County
528,Putnam County,Overton County
529,Robertson County,Sumner County
530,Warren County,Warren County
531,Smith County,
532,Warren County,
533,Wilson County,
534,White County,White County
535,Wilson County,
536,Madison County,Madison County
537,White County,
538,Davidson County,Davidson County
539,Rutherford County,Rutherford County
540,Cannon County,Cannon County
541,Sumner County,Sumner County
542,Lincoln County,Lincoln County
543,Rutherford County,
544,Cannon County,Warren County
545,Putnam County,Putnam County
546,White County,White County
547,Sumner County,Sumner County
548,Lincoln County,Lincoln County
549,Marion County,Marion County
550,Sumner County,
551,Rutherford County,
552,Wilson County,
553,Davidson County,Davidson County
554,Trousdale County,
555,Wilson County,
556,Rutherford County,
557,Coffee County,Warren County
558,Trousdale County,Trousdale County
559,Lincoln County,
560,Franklin County,
561,Coffee County,
562,DeKalb County,
563,Smith County,Jackson County
564,Davidson County,Davidson County
565,Wilson County,Wilson County
566,Williamson County,Williamson County
567,Smith County,Smith County
568,Sumner County,Sumner County
569,Rutherford County,Rutherford County
570,Franklin County,Franklin County
571,Sumner County,Cumberland County
572,Sumner County,Sumner County
573,Sumner County,Sumner County
574,Bedford County,Bedford County
575,Coffee County,Coffee County
576,Warren County,Warren County
577,Marshall County,Marshall County
578,Robertson County,
579,Warren County,Warren County
580,Cheatham County,Sumner County
581,Wilson County,DeKalb County
582,Maury County,Marshall County
583,Montgomery County,Montgomery County
584,Robertson County,Robertson County
